2025-03-17T10:52:15.045+01:00  INFO 6264 --- [microservice-scrap-consum] [restartedMain] c.a.s.MicroserviceScrapConsumApplication : Starting MicroserviceScrapConsumApplication using Java 21.0.4 with PID 6264 (C:\Users\Andres\Documents\Programacion 2025\Proyectos\Compra barato-back\microservice-scrap-consum\target\classes started by Andres in C:\Users\Andres\Documents\Programacion 2025\Proyectos\Compra barato-back\microservice-scrap-consum)
2025-03-17T10:52:15.054+01:00  INFO 6264 --- [microservice-scrap-consum] [restartedMain] c.a.s.MicroserviceScrapConsumApplication : No active profile set, falling back to 1 default profile: "default"
2025-03-17T10:52:15.149+01:00  INFO 6264 --- [microservice-scrap-consum] [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-03-17T10:52:15.150+01:00  INFO 6264 --- [microservice-scrap-consum] [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-03-17T10:52:16.250+01:00  INFO 6264 --- [microservice-scrap-consum] [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=de10869b-9718-3907-a387-9f7d53abf9fa
2025-03-17T10:52:16.669+01:00  INFO 6264 --- [microservice-scrap-consum] [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 0 (http)
2025-03-17T10:52:16.685+01:00  INFO 6264 --- [microservice-scrap-consum] [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2025-03-17T10:52:16.685+01:00  INFO 6264 --- [microservice-scrap-consum] [restartedMain] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.36]
2025-03-17T10:52:16.770+01:00  INFO 6264 --- [microservice-scrap-consum] [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2025-03-17T10:52:16.771+01:00  INFO 6264 --- [microservice-scrap-consum] [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1621 ms
2025-03-17T10:52:17.403+01:00  INFO 6264 --- [microservice-scrap-consum] [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : LiveReload server is running on port 35729
2025-03-17T10:52:17.494+01:00  INFO 6264 --- [microservice-scrap-consum] [restartedMain] DiscoveryClientOptionalArgsConfiguration : Eureka HTTP Client uses RestTemplate.
2025-03-17T10:52:17.660+01:00  INFO 6264 --- [microservice-scrap-consum] [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port 50276 (http) with context path '/'
2025-03-17T10:52:17.662+01:00  INFO 6264 --- [microservice-scrap-consum] [restartedMain] .s.c.n.e.s.EurekaAutoServiceRegistration : Updating port to 50276
